alpha,gamma,success ratio,optimal path found ratio,epsilon function
0.1,0.9,0.91,0.01,1/math.pow((self.total_num_of_trials)(1/1.5))
0.2,0.1,0.96,0.08,1/math.pow((self.total_num_of_trials)(1/1.1))
0.2,0.1,0.96,0.02,1/math.pow((self.total_num_of_trials)(1/1.3))
0.2,0.1,0.99,0.04,1/math.pow((self.total_num_of_trials)(1/1.5))
0.2,0.2,0.98,0.03,1/math.pow((self.total_num_of_trials)(1/1.1))
0.2,0.2,0.96,0.03,1/math.pow((self.total_num_of_trials)(1/1.3))
0.2,0.2,0.97,0.01,1/math.pow((self.total_num_of_trials)(1/1.5))
0.2,0.3,1,0.05,1/math.pow((self.total_num_of_trials)(1/1.1))
0.2,0.3,0.98,0.01,1/math.pow((self.total_num_of_trials)(1/1.3))
0.2,0.3,0.96,0.02,1/math.pow((self.total_num_of_trials)(1/1.5))
0.2,0.4,0.98,0.03,1/math.pow((self.total_num_of_trials)(1/1.1))
0.2,0.4,0.97,0.01,1/math.pow((self.total_num_of_trials)(1/1.3))
0.2,0.4,0.96,0,1/math.pow((self.total_num_of_trials)(1/1.5))
0.2,0.5,0.97,0.02,1/math.pow((self.total_num_of_trials)(1/1.1))
0.2,0.5,0.97,0.03,1/math.pow((self.total_num_of_trials)(1/1.3))
0.2,0.5,0.92,0.02,1/math.pow((self.total_num_of_trials)(1/1.5))
0.2,0.6,0.99,0,1/math.pow((self.total_num_of_trials)(1/1.1))
0.2,0.6,0.94,0.01,1/math.pow((self.total_num_of_trials)(1/1.3))
0.2,0.6,0.89,0.01,1/math.pow((self.total_num_of_trials)(1/1.5))
0.2,0.7,0.75,0.02,1/math.pow((self.total_num_of_trials)(1/1.1))
0.2,0.7,0.92,0.02,1/math.pow((self.total_num_of_trials)(1/1.3))
0.2,0.7,0.8,0.02,1/math.pow((self.total_num_of_trials)(1/1.5))
0.2,0.8,0.94,0.02,1/math.pow((self.total_num_of_trials)(1/1.1))
0.2,0.8,0.93,0.01,1/math.pow((self.total_num_of_trials)(1/1.3))
0.2,0.8,0.89,0,1/math.pow((self.total_num_of_trials)(1/1.5))
0.2,0.9,0.92,0.03,1/math.pow((self.total_num_of_trials)(1/1.1))
0.2,0.9,0.93,0.03,1/math.pow((self.total_num_of_trials)(1/1.3))
0.2,0.9,0.92,0.01,1/math.pow((self.total_num_of_trials)(1/1.5))
0.3,0.1,0.95,0.04,1/math.pow((self.total_num_of_trials)(1/1.1))
0.3,0.1,0.95,0.01,1/math.pow((self.total_num_of_trials)(1/1.3))
0.3,0.1,0.97,0,1/math.pow((self.total_num_of_trials)(1/1.5))
0.3,0.2,0.97,0.05,1/math.pow((self.total_num_of_trials)(1/1.1))
0.3,0.2,0.97,0,1/math.pow((self.total_num_of_trials)(1/1.3))
0.3,0.2,0.98,0.01,1/math.pow((self.total_num_of_trials)(1/1.5))
0.3,0.3,0.98,0,1/math.pow((self.total_num_of_trials)(1/1.1))
0.3,0.3,0.96,0.01,1/math.pow((self.total_num_of_trials)(1/1.3))
0.3,0.3,0.94,0,1/math.pow((self.total_num_of_trials)(1/1.5))
0.3,0.4,0.89,0.04,1/math.pow((self.total_num_of_trials)(1/1.1))
0.3,0.4,0.97,0.01,1/math.pow((self.total_num_of_trials)(1/1.3))
0.3,0.4,0.97,0,1/math.pow((self.total_num_of_trials)(1/1.5))
0.3,0.5,0.93,0.04,1/math.pow((self.total_num_of_trials)(1/1.1))
0.3,0.5,0.87,0.04,1/math.pow((self.total_num_of_trials)(1/1.3))
0.3,0.5,0.94,0.02,1/math.pow((self.total_num_of_trials)(1/1.5))
0.3,0.6,0.97,0.04,1/math.pow((self.total_num_of_trials)(1/1.1))
0.3,0.6,0.89,0,1/math.pow((self.total_num_of_trials)(1/1.3))
0.3,0.6,0.95,0.03,1/math.pow((self.total_num_of_trials)(1/1.5))
0.3,0.7,0.93,0.01,1/math.pow((self.total_num_of_trials)(1/1.1))
0.3,0.7,0.85,0.05,1/math.pow((self.total_num_of_trials)(1/1.3))
0.3,0.7,0.92,0.02,1/math.pow((self.total_num_of_trials)(1/1.5))
0.3,0.8,0.85,0.04,1/math.pow((self.total_num_of_trials)(1/1.1))
0.3,0.8,0.93,0.02,1/math.pow((self.total_num_of_trials)(1/1.3))
0.3,0.8,0.89,0.03,1/math.pow((self.total_num_of_trials)(1/1.5))
0.3,0.9,0.97,0.04,1/math.pow((self.total_num_of_trials)(1/1.1))
0.3,0.9,0.74,0.01,1/math.pow((self.total_num_of_trials)(1/1.3))
0.3,0.9,0.85,0.02,1/math.pow((self.total_num_of_trials)(1/1.5))
0.4,0.1,0.99,0.02,1/math.pow((self.total_num_of_trials)(1/1.1))
0.4,0.1,0.97,0.02,1/math.pow((self.total_num_of_trials)(1/1.3))
0.4,0.1,0.9,0.01,1/math.pow((self.total_num_of_trials)(1/1.5))
0.4,0.2,1,0.01,1/math.pow((self.total_num_of_trials)(1/1.1))
0.4,0.2,0.96,0.03,1/math.pow((self.total_num_of_trials)(1/1.3))
0.4,0.2,0.99,0.01,1/math.pow((self.total_num_of_trials)(1/1.5))
0.4,0.3,1,0.02,1/math.pow((self.total_num_of_trials)(1/1.1))
0.4,0.3,0.99,0.03,1/math.pow((self.total_num_of_trials)(1/1.3))
0.4,0.3,0.96,0.02,1/math.pow((self.total_num_of_trials)(1/1.5))
0.4,0.4,0.97,0.02,1/math.pow((self.total_num_of_trials)(1/1.1))
0.4,0.4,0.98,0,1/math.pow((self.total_num_of_trials)(1/1.3))
0.4,0.4,0.94,0,1/math.pow((self.total_num_of_trials)(1/1.5))
0.4,0.5,0.91,0.03,1/math.pow((self.total_num_of_trials)(1/1.1))
0.4,0.5,0.97,0.04,1/math.pow((self.total_num_of_trials)(1/1.3))
0.4,0.5,0.96,0.02,1/math.pow((self.total_num_of_trials)(1/1.5))
0.4,0.6,0.95,0.02,1/math.pow((self.total_num_of_trials)(1/1.1))
0.4,0.6,0.95,0.01,1/math.pow((self.total_num_of_trials)(1/1.3))
0.4,0.6,0.94,0.03,1/math.pow((self.total_num_of_trials)(1/1.5))
0.4,0.7,0.96,0.01,1/math.pow((self.total_num_of_trials)(1/1.1))
0.4,0.7,0.92,0.02,1/math.pow((self.total_num_of_trials)(1/1.3))
0.4,0.7,0.86,0,1/math.pow((self.total_num_of_trials)(1/1.5))
0.4,0.8,0.89,0.06,1/math.pow((self.total_num_of_trials)(1/1.1))
0.4,0.8,0.83,0,1/math.pow((self.total_num_of_trials)(1/1.3))
0.4,0.8,0.91,0,1/math.pow((self.total_num_of_trials)(1/1.5))
0.4,0.9,0.87,0.03,1/math.pow((self.total_num_of_trials)(1/1.1))
0.4,0.9,0.85,0.02,1/math.pow((self.total_num_of_trials)(1/1.3))
0.4,0.9,0.81,0.01,1/math.pow((self.total_num_of_trials)(1/1.5))
0.5,0.1,1,0.03,1/math.pow((self.total_num_of_trials)(1/1.1))
0.5,0.1,0.88,0,1/math.pow((self.total_num_of_trials)(1/1.3))
0.5,0.1,0.97,0.01,1/math.pow((self.total_num_of_trials)(1/1.5))
0.5,0.2,0.99,0.02,1/math.pow((self.total_num_of_trials)(1/1.1))
0.5,0.2,0.99,0,1/math.pow((self.total_num_of_trials)(1/1.3))
0.5,0.2,0.93,0.01,1/math.pow((self.total_num_of_trials)(1/1.5))
0.5,0.3,0.97,0.03,1/math.pow((self.total_num_of_trials)(1/1.1))
0.5,0.3,0.99,0.03,1/math.pow((self.total_num_of_trials)(1/1.3))
0.5,0.3,0.96,0,1/math.pow((self.total_num_of_trials)(1/1.5))
0.5,0.4,0.99,0.02,1/math.pow((self.total_num_of_trials)(1/1.1))
0.5,0.4,0.96,0.03,1/math.pow((self.total_num_of_trials)(1/1.3))
0.5,0.4,0.93,0.02,1/math.pow((self.total_num_of_trials)(1/1.5))
0.5,0.5,0.97,0.04,1/math.pow((self.total_num_of_trials)(1/1.1))
0.5,0.5,0.95,0.02,1/math.pow((self.total_num_of_trials)(1/1.3))
0.5,0.5,0.91,0.01,1/math.pow((self.total_num_of_trials)(1/1.5))
0.5,0.6,0.88,0.05,1/math.pow((self.total_num_of_trials)(1/1.1))
0.5,0.6,0.94,0,1/math.pow((self.total_num_of_trials)(1/1.3))
0.5,0.6,0.9,0,1/math.pow((self.total_num_of_trials)(1/1.5))
0.5,0.7,0.92,0.01,1/math.pow((self.total_num_of_trials)(1/1.1))
0.5,0.7,0.88,0.02,1/math.pow((self.total_num_of_trials)(1/1.3))
0.5,0.7,0.89,0.03,1/math.pow((self.total_num_of_trials)(1/1.5))
0.5,0.8,0.9,0.02,1/math.pow((self.total_num_of_trials)(1/1.1))
0.5,0.8,0.91,0.01,1/math.pow((self.total_num_of_trials)(1/1.3))
0.5,0.8,0.89,0.02,1/math.pow((self.total_num_of_trials)(1/1.5))
0.5,0.9,0.88,0,1/math.pow((self.total_num_of_trials)(1/1.1))
0.5,0.9,0.67,0.01,1/math.pow((self.total_num_of_trials)(1/1.3))
0.5,0.9,0.77,0.01,1/math.pow((self.total_num_of_trials)(1/1.5))
0.6,0.1,0.99,0.03,1/math.pow((self.total_num_of_trials)(1/1.1))
0.6,0.1,0.98,0.02,1/math.pow((self.total_num_of_trials)(1/1.3))
0.6,0.1,0.96,0.02,1/math.pow((self.total_num_of_trials)(1/1.5))
0.6,0.2,0.99,0.01,1/math.pow((self.total_num_of_trials)(1/1.1))
0.6,0.2,0.96,0.03,1/math.pow((self.total_num_of_trials)(1/1.3))
0.6,0.2,0.99,0,1/math.pow((self.total_num_of_trials)(1/1.5))
0.6,0.3,0.97,0.05,1/math.pow((self.total_num_of_trials)(1/1.1))
0.6,0.3,0.99,0.01,1/math.pow((self.total_num_of_trials)(1/1.3))
0.6,0.3,0.96,0.01,1/math.pow((self.total_num_of_trials)(1/1.5))
0.6,0.4,0.97,0.04,1/math.pow((self.total_num_of_trials)(1/1.1))
0.6,0.4,0.94,0.01,1/math.pow((self.total_num_of_trials)(1/1.3))
0.6,0.4,0.97,0.01,1/math.pow((self.total_num_of_trials)(1/1.5))
0.6,0.5,0.95,0.03,1/math.pow((self.total_num_of_trials)(1/1.1))
0.6,0.5,0.93,0,1/math.pow((self.total_num_of_trials)(1/1.3))
0.6,0.5,0.98,0.04,1/math.pow((self.total_num_of_trials)(1/1.5))
0.6,0.6,0.9,0.02,1/math.pow((self.total_num_of_trials)(1/1.1))
0.6,0.6,0.9,0,1/math.pow((self.total_num_of_trials)(1/1.3))
0.6,0.6,0.95,0.01,1/math.pow((self.total_num_of_trials)(1/1.5))
0.6,0.7,0.89,0.02,1/math.pow((self.total_num_of_trials)(1/1.1))
0.6,0.7,0.93,0.01,1/math.pow((self.total_num_of_trials)(1/1.3))
0.6,0.7,0.92,0.02,1/math.pow((self.total_num_of_trials)(1/1.5))
0.6,0.8,0.84,0.03,1/math.pow((self.total_num_of_trials)(1/1.1))
0.6,0.8,0.86,0.01,1/math.pow((self.total_num_of_trials)(1/1.3))
0.6,0.8,0.8,0.01,1/math.pow((self.total_num_of_trials)(1/1.5))
0.6,0.9,0.76,0.01,1/math.pow((self.total_num_of_trials)(1/1.1))
0.6,0.9,0.7,0,1/math.pow((self.total_num_of_trials)(1/1.3))
0.6,0.9,0.72,0.01,1/math.pow((self.total_num_of_trials)(1/1.5))
0.7,0.1,0.94,0.01,1/math.pow((self.total_num_of_trials)(1/1.1))
0.7,0.1,0.98,0.01,1/math.pow((self.total_num_of_trials)(1/1.3))
0.7,0.1,0.96,0.01,1/math.pow((self.total_num_of_trials)(1/1.5))
0.7,0.2,0.99,0.02,1/math.pow((self.total_num_of_trials)(1/1.1))
0.7,0.2,0.98,0.02,1/math.pow((self.total_num_of_trials)(1/1.3))
0.7,0.2,0.99,0.03,1/math.pow((self.total_num_of_trials)(1/1.5))
0.7,0.3,0.96,0.01,1/math.pow((self.total_num_of_trials)(1/1.1))
0.7,0.3,0.97,0.02,1/math.pow((self.total_num_of_trials)(1/1.3))
0.7,0.3,0.96,0.04,1/math.pow((self.total_num_of_trials)(1/1.5))
0.7,0.4,0.94,0.03,1/math.pow((self.total_num_of_trials)(1/1.1))
0.7,0.4,0.97,0.03,1/math.pow((self.total_num_of_trials)(1/1.3))
0.7,0.4,0.98,0,1/math.pow((self.total_num_of_trials)(1/1.5))
0.7,0.5,0.98,0.02,1/math.pow((self.total_num_of_trials)(1/1.1))
0.7,0.5,0.93,0.02,1/math.pow((self.total_num_of_trials)(1/1.3))
0.7,0.5,0.96,0.01,1/math.pow((self.total_num_of_trials)(1/1.5))
0.7,0.6,0.93,0.01,1/math.pow((self.total_num_of_trials)(1/1.1))
0.7,0.6,0.96,0.02,1/math.pow((self.total_num_of_trials)(1/1.3))
0.7,0.6,0.94,0.02,1/math.pow((self.total_num_of_trials)(1/1.5))
0.7,0.7,0.86,0.02,1/math.pow((self.total_num_of_trials)(1/1.1))
0.7,0.7,0.89,0.01,1/math.pow((self.total_num_of_trials)(1/1.3))
0.7,0.7,0.91,0.02,1/math.pow((self.total_num_of_trials)(1/1.5))
0.7,0.8,0.82,0.02,1/math.pow((self.total_num_of_trials)(1/1.1))
0.7,0.8,0.89,0.01,1/math.pow((self.total_num_of_trials)(1/1.3))
0.7,0.8,0.78,0.01,1/math.pow((self.total_num_of_trials)(1/1.5))
0.7,0.9,0.77,0.03,1/math.pow((self.total_num_of_trials)(1/1.1))
0.7,0.9,0.62,0.03,1/math.pow((self.total_num_of_trials)(1/1.3))
0.7,0.9,0.8,0.01,1/math.pow((self.total_num_of_trials)(1/1.5))
0.8,0.1,0.97,0.04,1/math.pow((self.total_num_of_trials)(1/1.1))
0.8,0.1,0.93,0.04,1/math.pow((self.total_num_of_trials)(1/1.3))
0.8,0.1,0.95,0.01,1/math.pow((self.total_num_of_trials)(1/1.5))
0.8,0.2,1,0.03,1/math.pow((self.total_num_of_trials)(1/1.1))
0.8,0.2,0.98,0.05,1/math.pow((self.total_num_of_trials)(1/1.3))
0.8,0.2,0.93,0.01,1/math.pow((self.total_num_of_trials)(1/1.5))
0.8,0.3,0.96,0.01,1/math.pow((self.total_num_of_trials)(1/1.1))
0.8,0.3,0.96,0,1/math.pow((self.total_num_of_trials)(1/1.3))
0.8,0.3,0.95,0,1/math.pow((self.total_num_of_trials)(1/1.5))
0.8,0.4,0.95,0.04,1/math.pow((self.total_num_of_trials)(1/1.1))
0.8,0.4,0.96,0.02,1/math.pow((self.total_num_of_trials)(1/1.3))
0.8,0.4,0.95,0.02,1/math.pow((self.total_num_of_trials)(1/1.5))
0.8,0.5,1,0.02,1/math.pow((self.total_num_of_trials)(1/1.1))
0.8,0.5,0.93,0.02,1/math.pow((self.total_num_of_trials)(1/1.3))
0.8,0.5,0.97,0.01,1/math.pow((self.total_num_of_trials)(1/1.5))
0.8,0.6,0.97,0.03,1/math.pow((self.total_num_of_trials)(1/1.1))
0.8,0.6,0.99,0.02,1/math.pow((self.total_num_of_trials)(1/1.3))
0.8,0.6,0.93,0.01,1/math.pow((self.total_num_of_trials)(1/1.5))
0.8,0.7,0.95,0.02,1/math.pow((self.total_num_of_trials)(1/1.1))
0.8,0.7,0.91,0.04,1/math.pow((self.total_num_of_trials)(1/1.3))
0.8,0.7,0.9,0.01,1/math.pow((self.total_num_of_trials)(1/1.5))
0.8,0.8,0.84,0.03,1/math.pow((self.total_num_of_trials)(1/1.1))
0.8,0.8,0.82,0.02,1/math.pow((self.total_num_of_trials)(1/1.3))
0.8,0.8,0.8,0,1/math.pow((self.total_num_of_trials)(1/1.5))
0.8,0.9,0.66,0,1/math.pow((self.total_num_of_trials)(1/1.1))
0.8,0.9,0.78,0.03,1/math.pow((self.total_num_of_trials)(1/1.3))
0.8,0.9,0.71,0,1/math.pow((self.total_num_of_trials)(1/1.5))
0.9,0.1,0.96,0.01,1/math.pow((self.total_num_of_trials)(1/1.1))
0.9,0.1,0.99,0.01,1/math.pow((self.total_num_of_trials)(1/1.3))
0.9,0.1,0.95,0.02,1/math.pow((self.total_num_of_trials)(1/1.5))
0.9,0.2,0.98,0.01,1/math.pow((self.total_num_of_trials)(1/1.1))
0.9,0.2,0.97,0,1/math.pow((self.total_num_of_trials)(1/1.3))
0.9,0.2,0.98,0.05,1/math.pow((self.total_num_of_trials)(1/1.5))
0.9,0.3,0.96,0.02,1/math.pow((self.total_num_of_trials)(1/1.1))
0.9,0.3,0.96,0.01,1/math.pow((self.total_num_of_trials)(1/1.3))
0.9,0.3,0.98,0.03,1/math.pow((self.total_num_of_trials)(1/1.5))
0.9,0.4,0.94,0.01,1/math.pow((self.total_num_of_trials)(1/1.1))
0.9,0.4,0.96,0,1/math.pow((self.total_num_of_trials)(1/1.3))
0.9,0.4,0.96,0,1/math.pow((self.total_num_of_trials)(1/1.5))
0.9,0.5,0.98,0.02,1/math.pow((self.total_num_of_trials)(1/1.1))
0.9,0.5,0.95,0,1/math.pow((self.total_num_of_trials)(1/1.3))
0.9,0.5,0.98,0.04,1/math.pow((self.total_num_of_trials)(1/1.5))
0.9,0.6,0.99,0.01,1/math.pow((self.total_num_of_trials)(1/1.1))
0.9,0.6,0.96,0.02,1/math.pow((self.total_num_of_trials)(1/1.3))
0.9,0.6,1,0.01,1/math.pow((self.total_num_of_trials)(1/1.5))
0.9,0.7,0.88,0.04,1/math.pow((self.total_num_of_trials)(1/1.1))
0.9,0.7,0.93,0.03,1/math.pow((self.total_num_of_trials)(1/1.3))
0.9,0.7,0.86,0.02,1/math.pow((self.total_num_of_trials)(1/1.5))
0.9,0.8,0.92,0.02,1/math.pow((self.total_num_of_trials)(1/1.1))
0.9,0.8,0.89,0.01,1/math.pow((self.total_num_of_trials)(1/1.3))
0.9,0.8,0.78,0.02,1/math.pow((self.total_num_of_trials)(1/1.5))
0.9,0.9,0.76,0.01,1/math.pow((self.total_num_of_trials)(1/1.1))
0.9,0.9,0.81,0.02,1/math.pow((self.total_num_of_trials)(1/1.3))
0.9,0.9,0.79,0,1/math.pow((self.total_num_of_trials)(1/1.5))
